tag,model,n_test,n_trades,trade_rate,sharpe,max_drawdown,win_rate,total_return,bh_sharpe,bh_total_return,threshold
integrated_coffee_daily,stack,75,48,0.64,2.1537,-0.3135,0.6458,1.9576,1.7602,2.0376,0.4700000000000001
integrated_coffee_daily,lstm,75,47,0.6267,2.0317,-0.3135,0.6383,1.7584,1.7602,2.0376,0.23000000000000004
integrated_coffee_daily,tcn,80,57,0.7125,1.3873,-0.246,0.5614,1.2448,1.2659,1.3188,0.08000000000000002
integrated_coffee_daily,lgbm,81,81,1.0,1.0009,-0.3747,0.5802,0.8833,1.0009,0.8833,0.05
integrated_coffee_daily,rf,81,81,1.0,1.0009,-0.3747,0.5802,0.8833,1.0009,0.8833,0.05
integrated_coffee_weekly,lstm,138,87,0.6304,1.1577,-0.3667,0.6322,1.3416,0.933,1.3213,0.5800000000000002
integrated_coffee_weekly,rf,145,144,0.9931,0.9624,-0.3667,0.5764,1.4843,0.8919,1.3198,0.37000000000000005
integrated_coffee_weekly,lgbm,145,120,0.8276,0.832,-0.3667,0.5833,1.058,0.8919,1.3198,0.33
integrated_coffee_weekly,stack,134,63,0.4701,0.2519,-0.2184,0.5714,0.2025,0.86,1.1255,0.5000000000000001
integrated_coffee_weekly,tcn,134,50,0.3731,0.0598,-0.2369,0.58,0.0703,0.86,1.1255,0.32000000000000006
integrated_corn_daily,lstm,103,86,0.835,-0.2151,-0.3131,0.5465,-0.0855,-0.4696,-0.2246,0.8700000000000002
integrated_corn_daily,stack,103,92,0.8932,-0.3014,-0.3766,0.5326,-0.132,-0.4696,-0.2246,0.4800000000000001
integrated_corn_daily,tcn,103,90,0.8738,-0.5282,-0.4102,0.5111,-0.2364,-0.4696,-0.2246,0.4100000000000001
integrated_corn_daily,rf,105,105,1.0,-0.5659,-0.4279,0.5143,-0.2674,-0.5659,-0.2674,0.2
integrated_corn_daily,lgbm,105,46,0.4381,-1.0032,-0.3729,0.5,-0.3082,-0.5659,-0.2674,0.33
integrated_corn_weekly,tcn,137,84,0.6131,-0.4824,-0.2692,0.4762,-0.1307,-0.5948,-0.2578,0.37000000000000005
integrated_corn_weekly,lstm,133,133,1.0,-0.6321,-0.3896,0.4812,-0.2693,-0.6321,-0.2693,0.05
integrated_corn_weekly,lgbm,140,140,1.0,-0.6495,-0.4194,0.4929,-0.2845,-0.6495,-0.2845,0.05
integrated_corn_weekly,stack,133,88,0.6617,-0.696,-0.2929,0.4545,-0.2292,-0.6321,-0.2693,0.49000000000000005
integrated_corn_weekly,rf,140,44,0.3143,-0.7035,-0.2013,0.5,-0.1146,-0.6495,-0.2845,0.4700000000000001
