tag,model,n_trades,cost_pct,sharpe,total_return,mdd,win_rate,verdict
coffee_daily,Coffee Daily Stack,48,0.0,2.1537,1.9576,-0.3135,0.6458,Baseline
coffee_daily,Coffee Daily Stack,48,0.05,2.1101,1.8889,-0.3168,0.6458,Robust
coffee_daily,Coffee Daily Stack,48,0.1,2.0664,1.8218,-0.32,0.6458,Robust
coffee_daily,Coffee Daily Stack,48,0.2,1.9786,1.692,-0.3263,0.625,Robust
coffee_daily,Coffee Daily Stack,48,0.3,1.8902,1.5681,-0.3326,0.6042,Robust
coffee_daily,Coffee Daily Stack,48,0.5,1.712,1.3368,-0.3451,0.6042,Robust
coffee_weekly,Coffee Weekly Binary RF,144,0.0,0.9624,1.4843,-0.3667,0.5764,Baseline
coffee_weekly,Coffee Weekly Binary RF,144,0.05,0.8925,1.3125,-0.3723,0.5764,Acceptable
coffee_weekly,Coffee Weekly Binary RF,144,0.1,0.8227,1.1525,-0.3787,0.5556,Acceptable
coffee_weekly,Coffee Weekly Binary RF,144,0.2,0.6829,0.8647,-0.3913,0.5486,Degraded
coffee_weekly,Coffee Weekly Binary RF,144,0.3,0.5432,0.6152,-0.4037,0.5417,Degraded
coffee_weekly,Coffee Weekly Binary RF,144,0.5,0.2636,0.2114,-0.4277,0.5417,Degraded
corn_daily,Corn Daily MC RF,97,0.0,0.7859,0.5334,-0.1879,0.5773,Baseline
corn_daily,Corn Daily MC RF,97,0.05,0.6948,0.4611,-0.1929,0.567,Degraded
corn_daily,Corn Daily MC RF,97,0.1,0.6038,0.3921,-0.2001,0.567,Degraded
corn_daily,Corn Daily MC RF,97,0.2,0.4215,0.2637,-0.2146,0.5567,Degraded
corn_daily,Corn Daily MC RF,97,0.3,0.2392,0.147,-0.2288,0.5464,Degraded
corn_daily,Corn Daily MC RF,97,0.5,-0.1255,-0.0553,-0.2565,0.5361,Negative
